period,rgdp,ngdp,ii,ll,c,w,ae,te,y0,va0,lp0,i0,c0,k0,l0,py0,ae0,te0,y1,va1,lp1,i1,c1,k1,l1,py1,ae1,te1,y2,va2,lp2,i2,c2,k2,l2,py2,ae2,te2,y3,va3,lp3,i3,c3,k3,l3,py3,ae3,te3,rer0,ex0,im0,nx0,rex0,rim0,taus0-0,exs0-0,ims0-0,nxs0-0,rexs0-0,rims0-0,exsm0-0,exsf0-0,imsm0-0,imsf0-0,aes0-0,tes0-0,taus1-0,exs1-0,ims1-0,nxs1-0,rexs1-0,rims1-0,exsm1-0,exsf1-0,imsm1-0,imsf1-0,aes1-0,tes1-0,taus2-0,exs2-0,ims2-0,nxs2-0,rexs2-0,rims2-0,exsm2-0,exsf2-0,imsm2-0,imsf2-0,aes2-0,tes2-0,rer1,ex1,im1,nx1,rex1,rim1,taus0-1,exs0-1,ims0-1,nxs0-1,rexs0-1,rims0-1,exsm0-1,exsf0-1,imsm0-1,imsf0-1,aes0-1,tes0-1,taus1-1,exs1-1,ims1-1,nxs1-1,rexs1-1,rims1-1,exsm1-1,exsf1-1,imsm1-1,imsf1-1,aes1-1,tes1-1,taus2-1,exs2-1,ims2-1,nxs2-1,rexs2-1,rims2-1,exsm2-1,exsf2-1,imsm2-1,imsf2-1,aes2-1,tes2-1
0,226.1775236706191663,210.1977007341415060,56.1303438844140032,148.2803648581594018,168.6408170593755074,0.9800327808649439,0.5673131124545026,-nan,61.7738691800221673,61.7738691800221673,4.1105577001496467,5.7331791816982820,6.5237722907217668,92.0916086533208045,15.0280992717297863,0.9256968244562925,0.9226303256732338,0.0000000000000000,93.1228228310318542,93.1228228310318542,4.0270714242241690,8.6442970592970436,34.2159302507955019,142.6964833011211624,23.1242044208273079,0.9205699610666355,0.4180424758710237,0.0000000000000000,262.5869765005475642,262.5869765005475642,2.5476106526517635,39.0871755437255146,127.9011145178582325,636.1052708565534886,103.0718631307438500,0.9328065030466780,0.0000000000000000,0.0000000000000000,23.3524831951363154,23.3524831951363154,3.3094994046046220,2.6656920996931568,0.0000000000000000,42.9136067785830804,7.0561980348584417,0.9389323145581627,0.0000000000000000,0.0000000000000000,1.1219351983112713,9.2786124219950707,7.8576169541277938,1.4209954678672769,10.0176351390745229,7.9197459632396887,0.0000000000000000,1.9227199463798408,1.3154478882188059,0.6072720581610349,2.0770514660770809,1.3486018108355873,1.5628110827104691,0.3599088636693717,1.0650069922396737,0.2504408959791322,0.7235040232571717,0.0000000000000000,0.0000000000000000,3.8469944306700037,1.9523868030987739,1.8946076275712298,4.1789267447013065,1.9491828383734306,1.3321783976122901,2.5148160330577136,0.8797339564277887,1.0726528466709853,0.4128521167168720,0.0000000000000000,0.0000000000000000,3.5088980449452269,4.5897822628102141,-1.0808842178649871,3.7616569282961358,4.6219613140306706,1.7647370589004161,1.7441609860448108,2.8123185465633198,1.7774637162468943,0.0000000000000000,0.0000000000000000,0.9839838389833560,8.5252305114177513,9.0909148984881192,-0.5656843870703678,9.2088196201430659,9.9182458765666421,0.0000000000000000,3.1871271084586339,1.8438976330597110,1.3432294753989229,3.4429491646258925,2.0046694737707376,3.1312322595671196,0.0558948488915142,1.5206811134469733,0.3232165196127378,1.0627041517847078,0.0000000000000000,0.0000000000000000,3.0346809220213102,5.5337131172762888,-2.4990321952549786,3.2965239475173851,6.0692466017262010,2.0966069778419514,0.9380739441793590,2.4981899509464438,3.0355231663298450,0.4197754556009396,0.0000000000000000,0.0000000000000000,2.3034224809378072,1.7133041481521190,0.5901183327856883,2.4693465079997874,1.8443298010697036,1.4364949584614453,0.8669275224763621,0.9729877301182425,0.7403164180338764,0.0000000000000000,0.0000000000000000
1,224.5583475891474166,209.3549965063195941,54.9740420511657248,146.5473090131656875,168.1029615432071012,0.9685784555347621,0.9141700086738435,-nan,61.4286033487335885,61.4286033487335885,4.1273662420410133,5.6121105745811732,6.5321148698891607,92.2974518225808112,14.8832450881210612,0.9307546363729282,1.3829771022860302,0.0000000000000000,92.3072895286126140,92.3072895286126140,4.0469809202935876,8.4599395009567271,34.2651236739471301,142.7788014373331009,22.8089262950901670,0.9274569380232056,0.7172216743547207,0.0000000000000000,260.7251397572679252,260.7251397572679252,2.5593632070042824,38.2979844485660479,127.3057229993708006,637.0208603489744519,101.8710978745548914,0.9350110899919636,0.0000000000000000,0.0000000000000000,23.2107439855168458,23.2107439855168458,3.3233980330040298,2.6040075270617731,0.0000000000000000,43.0037258192537664,6.9840397553995608,0.9365153287860242,0.0000000000000000,0.0000000000000000,1.0934234072600912,9.2699399038588126,7.6598679474025664,1.6100719564562462,9.9562987344245819,7.7045481614729052,0.0000000000000000,1.9762812281938160,1.2745305875503330,0.7017506406434830,2.1233106459670359,1.3005047273213306,1.6000768293802823,0.3762043988135337,1.0345226915110846,0.2400078960392485,1.3170079461510504,0.0000000000000000,0.0000000000000000,3.7166352206132909,1.8988963490920612,1.8177388715212297,4.0073399294796133,1.8911267482102565,1.3081148280590194,2.4085203925542715,0.8599860299859515,1.0389103191061095,0.7307434481171665,0.0000000000000000,0.0000000000000000,3.5770234550517062,4.4864410107601724,-0.9094175557084663,3.8256481589779332,4.5129166859413186,1.7897502712986129,1.7872731837530931,2.7587783417772807,1.7276626689828916,0.0000000000000000,0.0000000000000000,0.9862629711430040,8.4751605635222873,9.1051743955263280,-0.6300138320040407,9.1060778705298180,9.8827854127457329,0.0000000000000000,3.1671927776430300,1.8487030429824878,1.3184897346605422,3.4028224559646691,2.0040079778706885,3.1118710711230975,0.0553217065199323,1.5239983068991947,0.3247047360832932,1.4293825846007888,0.0000000000000000,0.0000000000000000,3.0250738109661959,5.5513716112841500,-2.5262978003179541,3.2616865397695767,6.0432666206091632,2.0909733911020605,0.9341004198641353,2.5026550062873065,3.0487166049968430,0.7127069656135957,0.0000000000000000,0.0000000000000000,2.2828939749130606,1.7050997412596915,0.5777942336533690,2.4415688747955731,1.8355108142658816,1.4260782985636520,0.8568156763494087,0.9682495628413031,0.7368501784183885,0.0000000000000000,0.0000000000000000
2,223.6470518465931718,209.2113641595745435,54.3079288178022992,145.6355624561161335,167.8111937597179804,0.9625524283220289,1.1967059982953872,-nan,61.2208414105543284,22.6764936378964705,1.5321347775445318,5.5422749120219450,6.5322651320177885,92.3714778434657973,14.8005867174680557,0.9349949483782642,1.8307983472297471,0.0000000000000000,91.7825731946747680,34.7817198056506669,1.5376197842566786,8.3540902427895993,34.2661889992879338,142.6716913903774469,22.6204944562839145,0.9324149686320401,0.9303204558649435,0.0000000000000000,259.7618042160353298,155.5991273559623096,1.5361929240566863,37.8426172092749127,127.0127396284122625,637.0975562415314926,101.2887931712805027,0.9377474513019125,0.0000000000000000,0.0000000000000000,23.0871471351215831,10.5945392917667327,1.5297453656354409,2.5689464537158435,0.0000000000000000,43.0274574184593348,6.9256881110836819,0.9372553346895419,0.0000000000000000,0.0000000000000000,1.0784809768092207,9.2740129704311478,7.5300820347918132,1.7439309356393347,9.9181156738312204,7.5656687116651931,0.0000000000000000,2.0203803663553606,1.2416312364910247,0.7787491298643359,2.1608462910518207,1.2651618008097061,1.6303572904325048,0.3900230759228558,1.0102554991336201,0.2313757373574046,1.8929729020524446,0.0000000000000000,0.0000000000000000,3.6242320329525701,1.8656843548479123,1.7585476781046578,3.8869303420447392,1.8537376789877067,1.2927317597903394,2.3315002731622307,0.8487956557766821,1.0168886990712300,0.9629636313643143,0.0000000000000000,0.0000000000000000,3.6294005711232158,4.4227664434528764,-0.7933658723296606,3.8703390407346592,4.4467692318677798,1.8083880187237866,1.8210125523994289,2.7268646062921622,1.6959018371607144,0.0000000000000000,0.0000000000000000,0.9878015295303907,8.4473026144906775,9.1287771626489302,-0.6814745481582527,9.0363971554591860,9.8661424306460503,0.0000000000000000,3.1537117849287299,1.8572889704590576,1.2964228144696723,3.3729720041790592,2.0061285180579440,3.0988151020060868,0.0548966829226431,1.5304156973303438,0.3268732731287139,1.7870621472645818,0.0000000000000000,0.0000000000000000,3.0200501744098984,5.5672084403279918,-2.5471582659180934,3.2389550532856197,6.0278891647925565,2.0884854869965612,0.9315646874133374,2.5073656960291806,3.0598427442988112,0.9194214101957732,0.0000000000000000,0.0000000000000000,2.2735406551520487,1.7042797518618822,0.5692609032901665,2.4244700979945089,1.8321247477955513,1.4211220777586333,0.8524185773934153,0.9673532363079136,0.7369265155539686,0.0000000000000000,0.0000000000000000
3,223.1147879301718149,209.2230377711464939,53.9209833994417735,145.1592579255401461,167.6371027727749947,0.9594043779777663,1.4413123827363021,-nan,61.0961363783755615,61.0961363783755615,4.1407587641925367,5.5015853077185728,6.5288808912625917,92.3714640848715902,14.7548166550314690,0.9381099901593714,2.2626898389053500,0.0000000000000000,91.4318748326349038,91.4318748326349038,4.0625258354844149,8.2932076018029459,34.2471617378170379,142.4642735726802698,22.5061645230700620,0.9358134416793089,1.0962473782942128,0.0000000000000000,259.2436804836382862,259.2436804836382862,2.5664462075662122,37.5774277486565893,126.8610601436953687,636.7133933678979929,101.0127076575206218,0.9396322695422894,0.0000000000000000,0.0000000000000000,22.9967343695691397,22.9967343695691397,3.3398451267073201,2.5487627412636633,0.0000000000000000,43.0147413940712369,6.8855690899179853,0.9388295258310370,0.0000000000000000,0.0000000000000000,1.0703225024631609,9.2786466123404541,7.4433524769434198,1.8352941353970342,9.8937623525412786,7.4735489277890563,0.0000000000000000,2.0557307789416988,1.2167764099433240,0.8389543689983747,2.1913536797454416,1.2385703100790257,1.6541420017270043,0.4015887772146943,0.9922961827968818,0.2244802271464422,2.3978469028124683,0.0000000000000000,0.0000000000000000,3.5571602139823142,1.8435547296541617,1.7136054843281525,3.8011424665999893,1.8293229511987339,1.2825759958231073,2.2745842181592066,0.8419390737313499,1.0016156559228118,1.1329714096115711,0.0000000000000000,0.0000000000000000,3.6657556194164411,4.3830213373459346,-0.7172657179294935,3.9012662061958476,4.4056556665112971,1.8204280134798336,1.8453276059366075,2.7078894429262448,1.6751318944196900,0.0000000000000000,0.0000000000000000,0.9888465295451964,8.4285324283974425,9.1512674668421923,-0.7227350384447497,8.9885641427817422,9.8581472421351251,0.0000000000000000,3.1437572956628475,1.8661827705383520,1.2775745251244954,3.3511606620123171,2.0091976199065238,3.0892077043054305,0.0545495913574169,1.5371328626827814,0.3290499078555706,2.1676146688361246,0.0000000000000000,0.0000000000000000,3.0168648266425810,5.5797108296247568,-2.5628460029821758,3.2237887299725507,6.0178880856133858,2.0871586952941867,0.9297061313483941,2.5113150916879436,3.0683957379368128,1.0839857987033532,0.0000000000000000,0.0000000000000000,2.2679103060920136,1.7053738666790845,0.5625364394129291,2.4136147507968735,1.8310615366152152,1.4178901646135631,0.8500201414784504,0.9674743399245557,0.7378995267545289,0.0000000000000000,0.0000000000000000
4,222.7878574773556011,209.2953693236467529,53.6932600672371834,144.9155868460628085,167.5194595187433038,0.9577938771817563,1.6499051614642901,-nan,61.0212017643643705,61.0212017643643705,4.1424456708950945,5.4775056494389114,6.5242760699197602,92.3306895457683225,14.7307186653286841,0.9403826523988721,2.6606566202403830,0.0000000000000000,91.1888144856396110,91.1888144856396110,4.0643500298688444,8.2581383158747634,34.2212479320015817,142.2077768013076309,22.4362601192058868,0.9382259605299572,1.2252831390397556,0.0000000000000000,258.9467948833510604,258.9467948833510604,2.5666657990846806,37.4206677749889849,126.7739355168219646,636.0855405080411629,100.8883957450542113,0.9410193627724943,0.0000000000000000,0.0000000000000000,22.9351002439774270,22.9351002439774270,3.3432056015090721,2.5369483269345299,0.0000000000000000,42.9825231088829085,6.8602123164740068,0.9404252254276468,0.0000000000000000,0.0000000000000000,1.0656461880567867,9.2833368293693574,7.3843097869701415,1.8990270423992159,9.8777913716383150,7.4111529758866697,0.0000000000000000,2.0841090673608771,1.1976968759160704,0.8864121914448067,2.2162351273116454,1.2181396487927005,1.6727992728568526,0.4113097945040245,0.9788237437945406,0.2188731321215298,2.8251960650230883,0.0000000000000000,0.0000000000000000,3.5081887193654016,1.8287404238091942,1.6794482955562073,3.7391725095560142,1.8133050200783116,1.2758955187718251,2.2322932005935767,0.8377422223567466,0.9909982014524478,1.2564519992949195,0.0000000000000000,0.0000000000000000,3.6910390426430792,4.3578724872448777,-0.6668334446017985,3.9223837347706558,4.3797083070156573,1.8281936718272085,1.8628453708158705,2.6966038211301417,1.6612686661147358,0.0000000000000000,0.0000000000000000,0.9895751738549597,8.4160292810692034,9.1704436302889807,-0.7544143492197772,8.9553198862889261,9.8538896899082982,0.0000000000000000,3.1364864173232556,1.8741233815075629,1.2623630358156928,3.3353299418297708,2.0123282159259750,3.0822226722673771,0.0542637450558783,1.5431198138740718,0.3310035676334909,2.5449126462031684,0.0000000000000000,0.0000000000000000,3.0149536797246710,5.5892034842647815,-2.5742498045401105,3.2134622218529034,6.0106965839427300,2.0865651039566471,0.9283885757680238,2.5144203468665864,3.0747831373981951,1.2148763441682344,0.0000000000000000,0.0000000000000000,2.2645891840212782,1.7071167645166376,0.5574724195046405,2.4065277226062527,1.8308648900395934,1.4158826606044164,0.8487065234168617,0.9680044009648366,0.7391123635518010,0.0000000000000000,0.0000000000000000
5,222.5728592571050513,209.3866975049579082,53.5562978684229094,144.7964272215780284,167.4291090273682414,0.9570063127711752,1.8238916238127527,-nan,60.9756992831456373,60.9756992831456373,4.1425955346393506,5.4628873590393452,6.5195398430802545,92.2681845411836292,14.7192017114106495,0.9420633874212480,3.0140100634140401,0.0000000000000000,91.0140983380011619,91.0140983380011619,4.0643000109013405,8.2378766729384267,34.1944241711334058,141.9312974592843943,22.3935482355833635,0.9400130057605430,1.3239165860718691,0.0000000000000000,258.7590156119605354,258.7590156119605354,2.5660712353767363,37.3256733427345253,126.7151450131545829,635.3375566627504440,100.8385940517239590,0.9421092050788378,0.0000000000000000,0.0000000000000000,22.8941233784859328,22.8941233784859328,3.3446084778089959,2.5298604937106073,0.0000000000000000,42.9403545329556948,6.8450832228600751,0.9418096121818139,0.0000000000000000,0.0000000000000000,1.0627971815370303,9.2878705704770042,7.3435180517079743,1.9443525187690298,9.8669198209841795,7.3682045780776777,0.0000000000000000,2.1070292167377351,1.1828283555232733,0.9242008612144619,2.2366108744607942,1.2021535601696625,1.6874962135320071,0.4195330032057280,0.9685778712154225,0.2142504843078507,3.1783843005444101,0.0000000000000000,0.0000000000000000,3.4722206388494472,1.8188326322389148,1.6533880066105324,3.6938006363434868,1.8028392826220405,1.2715268929009389,2.2006937459485085,0.8351903597363856,0.9836422725025292,1.3459694326652873,0.0000000000000000,0.0000000000000000,3.7086207148898227,4.3418570639457865,-0.6332363490559638,3.9365083101798981,4.3632117352859749,1.8331867344638497,1.8754339804259732,2.6899412119066093,1.6519158520391777,0.0000000000000000,0.0000000000000000,0.9901032677661445,8.4079348080432261,9.1859815972605166,-0.7780467892172904,8.9318818392013579,9.8510320049079638,0.0000000000000000,3.1312607428235659,1.8807653541619589,1.2504953886616070,3.3238323287299227,2.0151244566344557,3.0772311199086295,0.0540296229149364,1.5480877970203886,0.3326775571415703,2.8983823033961920,0.0000000000000000,0.0000000000000000,3.0139445337759163,5.5962887472541176,-2.5823442134782013,3.2062796102883730,6.0050319043361018,2.0864418631857871,0.9275026705901290,2.5167959771132615,3.0794927701408557,1.3165534855621928,0.0000000000000000,0.0000000000000000,2.2627295314437452,1.7089274958444403,0.5538020355993050,2.4017699001830630,1.8308756439374072,1.4147228226203252,0.8480067088234198,0.9686493653749807,0.7402781304694594,0.0000000000000000,0.0000000000000000
6,222.4192603496508696,209.4783547465819140,53.4710179899984794,144.7434349276693979,167.3523256874114509,0.9566560696003191,1.9659085481573624,-nan,60.9472897706145744,60.9472897706145744,4.1418917050749657,5.4536510550421111,6.5151264754654870,92.1947469863630289,14.7148438709629321,0.9433394159590819,3.3183250410792500,0.0000000000000000,90.8837488782622103,90.8837488782622103,4.0631666802211610,8.2260843386353066,34.1691360775260335,141.6510823940412536,22.3677136654692532,0.9413962372470293,1.3977512416320168,0.0000000000000000,258.6243313199406089,258.6243313199406089,2.5650973514650728,37.2658331721813738,126.6680631344199384,634.5389602532477511,100.8243726781853127,0.9430099023397384,0.0000000000000000,0.0000000000000000,22.8667320926135034,22.8667320926135034,3.3447987023189674,2.5254494241396892,0.0000000000000000,42.8935899880176450,6.8365047130519008,0.9429576622000366,0.0000000000000000,0.0000000000000000,1.0609297555887032,9.2920969226825072,7.3150210375322171,1.9770758851502901,9.8591336010811634,7.3382808861610513,0.0000000000000000,2.1256879188590481,1.1710903286004590,0.9545975902585890,2.2533648895587453,1.1894471905988937,1.6991523783062361,0.4265355405528118,0.9606912731839466,0.2103990554165123,3.4660982388417478,0.0000000000000000,0.0000000000000000,3.4456221275728116,1.8122578008902686,1.6333643266825431,3.6601188651964573,1.7960995733015299,1.2686882456818673,2.1769338818909443,0.8336617637854105,0.9785960371048582,1.4109524234551842,0.0000000000000000,0.0000000000000000,3.7207868762506484,4.3316729080414893,-0.6108860317908409,3.9456498463259613,4.3527341222606282,1.8363671981852425,1.8844196780654059,2.6860766428034193,1.6455962652380702,0.0000000000000000,0.0000000000000000,0.9905030646594265,8.4029311179779622,9.1982567192307574,-0.7953256012527952,8.9150752490755281,9.8485058818931943,0.0000000000000000,3.1275784862587650,1.8861433330063226,1.2414351532524424,3.3154328477613686,2.0174421059210568,3.0737388745754948,0.0538396116832702,1.5520601687365982,0.3340831642697243,3.2143751512044756,0.0000000000000000,0.0000000000000000,3.0135612234007816,5.6015545318366620,-2.5879933084358804,3.2011613220523221,6.0002427970399008,2.0866107842390700,0.9269504391617114,2.5186010067838573,3.0829535250528046,1.3933435735244672,0.0000000000000000,0.0000000000000000,2.2617914083184161,1.7105588543877723,0.5512325539306437,2.3984810792618383,1.8308209789322363,1.4141275873802310,0.8476638209381853,0.9692731458074064,0.7412857085803658,0.0000000000000000,0.0000000000000000
7,222.2996591205154573,209.5627290226473178,53.4151578334991299,144.7250022169585577,167.2827245676883194,0.9565342418670649,2.0797529147735130,-nan,60.9285523928898769,60.9285523928898769,4.1407351799733636,5.4474738159003664,6.5111749643719481,92.1164471758418273,14.7144286569134852,0.9443407275597479,3.5742250805227274,0.0000000000000000,90.7827765528493984,90.7827765528493984,4.0614258306046436,8.2191121708502557,34.1461513747144636,141.3759634861056327,22.3524398423728279,0.9425119829255445,1.4519172703451400,0.0000000000000000,258.5150695637648255,258.5150695637648255,2.5639667730357374,37.2260119700647181,126.6253982286019237,633.7283120926468882,100.8262167366868454,0.9437826973375534,0.0000000000000000,0.0000000000000000,22.8478415766188014,22.8478415766188014,3.3442797446469243,2.5225598766837924,0.0000000000000000,42.8452056461773623,6.8319169809853886,0.9439062244333560,0.0000000000000000,0.0000000000000000,1.0596051921092655,9.2959126117151740,7.2949579470490615,2.0009546646661125,9.8531856981078576,7.3172490672646875,0.0000000000000000,2.1410027050433227,1.1617204734866184,0.9792822315567042,2.2671930189602700,1.1792108906473100,1.7084685675263702,0.4325341375169524,0.9545571078008799,0.2071633656857385,3.6988196560863571,0.0000000000000000,0.0000000000000000,3.4257930771667651,1.8079672877844020,1.6178257893823631,3.6347475037220738,1.7918839816380656,1.2668548435762599,2.1589382335905052,0.8327713763253463,0.9751959114590557,1.4582528330613733,0.0000000000000000,0.0000000000000000,3.7291168295050863,4.3252701857780416,-0.5961533562729553,3.9512451754255147,4.3461541949793121,1.8383570441870292,1.8907597853180573,2.6839094295436037,1.6413607562344377,0.0000000000000000,0.0000000000000000,0.9908188199714459,8.4000751765188841,9.2078367698836452,-0.8077615933647611,8.9027819013548886,9.8458635561817083,0.0000000000000000,3.1250473149397222,1.8904246716732027,1.2346226432665195,3.3092370409725893,2.0192605870758991,3.0713605167935323,0.0536867981461899,1.5551711700736448,0.3352535015995580,3.4865800095292072,0.0000000000000000,0.0000000000000000,3.0135968409878955,5.6054812222479669,-2.5918843812600714,3.1974095773655118,5.9959923841014975,2.0869496834369823,0.9266471575509133,2.5199800767733316,3.0855011454746348,1.4498019250600145,0.0000000000000000,0.0000000000000000,2.2614310205912664,1.7119308759624752,0.5495001446287913,2.3961352830167884,1.8306105850043126,1.4138965242799124,0.8475344963113540,0.9698222700378817,0.7421086059245935,0.0000000000000000,0.0000000000000000
8,222.1991972983673236,209.6373165687946027,53.3760696918226998,144.7240265551793073,167.2173715881418730,0.9565277934035228,2.1698131267734673,-nan,60.9150731888937642,60.9150731888937642,4.1393588932185414,5.4430376620960770,6.5076805335311478,92.0366576592174539,14.7160646757859404,0.9451540437186675,3.7857390002455293,0.0000000000000000,90.7016286149303710,90.7016286149303710,4.0593658783937707,8.2148624588685593,34.1254930140842916,141.1105235085210268,22.3437924375566794,0.9434445495461106,1.4909541387165015,0.0000000000000000,258.4178371763348423,258.4178371763348423,2.5627918417442941,37.1976285628602810,126.5841980405264309,632.9265669639370344,100.8345012525284972,0.9444636341443484,0.0000000000000000,0.0000000000000000,22.8341085437898492,22.8341085437898492,3.3433701185566411,2.5205410079977866,0.0000000000000000,42.7968346917056195,6.8296681893081921,0.9447010761947264,0.0000000000000000,0.0000000000000000,1.0585927089172116,9.2992534452878388,7.2807674178961435,2.0184860273916954,9.8483035704434734,7.3023836581408812,0.0000000000000000,2.1536699885342814,1.1541696264678791,0.9995003620664022,2.2786444208192353,1.1708688919767318,1.7159720555553073,0.4376979329789742,0.9497429898072467,0.2044266366606323,3.8866673964225473,0.0000000000000000,0.0000000000000000,3.4108687657927375,1.8052506741530547,1.6056180916396827,3.6153357051388975,1.7893861338664290,1.2656761087474304,2.1451926570453068,0.8322785997931322,0.9729720743599224,1.4927763044814120,0.0000000000000000,0.0000000000000000,3.7347146909608209,4.3213471172752085,-0.5866324263143876,3.9543234444853388,4.3421286322977206,1.8395623826551875,1.8951523083056334,2.6827689780649258,1.6385781392102829,0.0000000000000000,0.0000000000000000,0.9910776192034122,8.3986911297830869,9.2152734002036709,-0.8165822704205841,8.8935823765464157,9.8429533113909429,0.0000000000000000,3.1233646561340267,1.8938018269291046,1.2295628292049221,3.3046091024964395,2.0206155158148418,3.0697997697808561,0.0535648863531704,1.5575770438657528,0.3362247830633518,3.7147417163896255,0.0000000000000000,0.0000000000000000,3.0138985537333745,5.6084310901449044,-2.5945325364115299,3.1945688330950190,5.9921021705342774,2.0873756206095506,0.9265229331238238,2.5210468757471505,3.0873842143977539,1.4903457460713394,0.0000000000000000,0.0000000000000000,2.2614279199156861,1.7130404831296613,0.5483874367860249,2.3944044409549576,1.8302356250418241,1.4138919683985585,0.8475359515171278,0.9702831553471186,0.7427573277825427,0.0000000000000000,0.0000000000000000
9,222.1098311786897170,209.7018633408262644,53.3465887228978275,144.7313067454162194,167.1549311811478162,0.9565759105300871,2.2404768449179224,-nan,60.9042653440891186,60.9042653440891186,4.1378962479113968,5.4395981289804265,6.5045829971450200,91.9572215664654777,14.7186545276070042,0.9458360836299478,3.9586400413465124,0.0000000000000000,90.6341223726344651,90.6341223726344651,4.0571621256012671,8.2121320114766618,34.1068980669068083,140.8569308796427038,22.3392902641775954,0.9442466726112924,1.5186674178938555,0.0000000000000000,258.3263700875685345,258.3263700875685345,2.5616276464142400,37.1758319675928277,126.5434501170959862,632.1447373908102918,100.8446213676578367,0.9450747463325330,0.0000000000000000,0.0000000000000000,22.8234467363618485,22.8234467363618485,3.3422629618177573,2.5190266148479088,0.0000000000000000,42.7493548651233368,6.8287405859737786,0.9453807735241307,0.0000000000000000,0.0000000000000000,1.0577690030078779,9.3020883987178902,7.2707154877352540,2.0313729109826362,9.8440124838717580,7.2918491289946115,0.0000000000000000,2.1642191618218920,1.1480345066182784,1.0161846552036136,2.2881545748561534,1.1640029050466885,1.7220590698480873,0.4421600919738047,0.9459353778149757,0.2020991288033026,4.0384509709645098,0.0000000000000000,0.0000000000000000,3.3995096887981306,1.8036202637792456,1.5958894250188851,3.6002347558153049,1.7880570103075821,1.2649193330601081,2.1345903557380224,0.8320320528971671,0.9715882108820785,1.5180217765784365,0.0000000000000000,0.0000000000000000,3.7383595480978675,4.3190607173377291,-0.5807011692398616,3.9556231532002997,4.3397892136403406,1.8402498098371234,1.8981097382607444,2.6822437127371246,1.6368170046006050,0.0000000000000000,0.0000000000000000,0.9912962430636234,8.3982967136694491,9.2210328956068146,-0.8227361819373655,8.8865213967109700,9.8397580765246424,0.0000000000000000,3.1223007807892427,1.8964506633881257,1.2258501174011169,3.3011013587115619,2.0215640231974112,3.0688324563488587,0.0534683244403842,1.5594209709630387,0.3370296924250871,3.9024976727017719,0.0000000000000000,0.0000000000000000,3.0143562283833694,5.6106665911159057,-2.5963103627325363,3.1923397940574540,5.9884745245476694,2.0878336720302344,0.9265225563531351,2.5218847148585914,3.0887818762573143,1.5188829874294478,0.0000000000000000,0.0000000000000000,2.2616397044968375,1.7139156411027843,0.5477240633940532,2.3930802439419532,1.8297195287795618,1.4140213189237518,0.8476183855730854,0.9706597585232281,0.7432558825795563,0.0000000000000000,0.0000000000000000
